Tempo,Corpos,Cores,Movimento,Nucleos
0.330531, 500 ,4, 100,Quatro
0.366071, 500 ,4, 100,Quatro
0.344801, 500 ,4, 100,Quatro
0.325808, 500 ,4, 100,Quatro
0.349653, 500 ,4, 100,Quatro
0.333435, 500 ,4, 100,Quatro
0.342071, 500 ,4, 100,Quatro
0.306813, 500 ,4, 100,Quatro
0.338308, 500 ,4, 100,Quatro
0.336747, 500 ,4, 100,Quatro
0.331166, 500 ,4, 100,Quatro
0.334977, 500 ,4, 100,Quatro
0.31613, 500 ,4, 100,Quatro
0.343469, 500 ,4, 100,Quatro
0.327772, 500 ,4, 100,Quatro
0.338866, 500 ,4, 100,Quatro
0.325246, 500 ,4, 100,Quatro
0.343719, 500 ,4, 100,Quatro
0.332728, 500 ,4, 100,Quatro
0.338774, 500 ,4, 100,Quatro
0.327947, 500 ,4, 100,Quatro
0.33874, 500 ,4, 100,Quatro
0.308925, 500 ,4, 100,Quatro
0.321306, 500 ,4, 100,Quatro
0.281925, 500 ,4, 100,Quatro
0.332353, 500 ,4, 100,Quatro
0.328966, 500 ,4, 100,Quatro
0.389619, 500 ,4, 100,Quatro
0.399813, 500 ,4, 100,Quatro
0.326738, 500 ,4, 100,Quatro
0.343485, 500 ,4, 100,Quatro
0.334968, 500 ,4, 100,Quatro
0.321448, 500 ,4, 100,Quatro
0.286878, 500 ,4, 100,Quatro
0.341873, 500 ,4, 100,Quatro
0.323941, 500 ,4, 100,Quatro
0.339174, 500 ,4, 100,Quatro
0.328292, 500 ,4, 100,Quatro
0.33052, 500 ,4, 100,Quatro
0.340349, 500 ,4, 100,Quatro
0.33378, 500 ,4, 100,Quatro
0.323352, 500 ,4, 100,Quatro
0.328109, 500 ,4, 100,Quatro
0.333722, 500 ,4, 100,Quatro
0.318522, 500 ,4, 100,Quatro
0.326186, 500 ,4, 100,Quatro
0.387789, 600 ,4, 100,Quatro
0.374387, 600 ,4, 100,Quatro
0.378101, 600 ,4, 100,Quatro
0.388374, 600 ,4, 100,Quatro
0.381108, 600 ,4, 100,Quatro
0.396158, 600 ,4, 100,Quatro
0.373588, 600 ,4, 100,Quatro
0.381854, 600 ,4, 100,Quatro
0.386805, 600 ,4, 100,Quatro
0.385867, 600 ,4, 100,Quatro
0.415977, 600 ,4, 100,Quatro
0.383086, 600 ,4, 100,Quatro
0.402857, 600 ,4, 100,Quatro
0.385603, 600 ,4, 100,Quatro
0.387115, 600 ,4, 100,Quatro
0.383676, 600 ,4, 100,Quatro
0.394686, 600 ,4, 100,Quatro
0.38829, 600 ,4, 100,Quatro
0.327854, 600 ,4, 100,Quatro
0.385882, 600 ,4, 100,Quatro
0.388923, 600 ,4, 100,Quatro
0.388085, 600 ,4, 100,Quatro
0.391538, 600 ,4, 100,Quatro
0.385187, 600 ,4, 100,Quatro
0.391269, 600 ,4, 100,Quatro
0.399833, 600 ,4, 100,Quatro
0.395224, 600 ,4, 100,Quatro
0.389985, 600 ,4, 100,Quatro
0.391068, 600 ,4, 100,Quatro
0.384779, 600 ,4, 100,Quatro
0.39396, 600 ,4, 100,Quatro
0.395038, 600 ,4, 100,Quatro
0.387096, 600 ,4, 100,Quatro
0.331479, 600 ,4, 100,Quatro
0.400844, 600 ,4, 100,Quatro
0.390348, 600 ,4, 100,Quatro
0.394139, 600 ,4, 100,Quatro
0.394082, 600 ,4, 100,Quatro
0.40158, 600 ,4, 100,Quatro
0.431283, 600 ,4, 100,Quatro
0.400316, 600 ,4, 100,Quatro
0.449015, 600 ,4, 100,Quatro
0.394394, 600 ,4, 100,Quatro
0.409251, 600 ,4, 100,Quatro
0.407188, 600 ,4, 100,Quatro
0.390705, 600 ,4, 100,Quatro
0.391877, 600 ,4, 100,Quatro
0.405405, 600 ,4, 100,Quatro
0.382891, 600 ,4, 100,Quatro
0.394189, 600 ,4, 100,Quatro
0.101624, 100, 8, 100,Oito
0.08919, 100 ,8, 100,Oito
0.091034, 100 ,8, 100,Oito
0.081443, 100 ,8, 100,Oito
0.08411, 100 ,8, 100,Oito
0.077452, 100 ,8, 100,Oito
0.088134, 100 ,8, 100,Oito
0.082314, 100 ,8, 100,Oito
0.083034, 100 ,8, 100,Oito
0.084747, 100 ,8, 100,Oito
0.088566, 100 ,8, 100,Oito
0.08091, 100 ,8, 100,Oito
0.082373, 100 ,8, 100,Oito
0.078586, 100 ,8, 100,Oito
0.087308, 100 ,8, 100,Oito
0.099164, 100 ,8, 100,Oito
0.082343, 100 ,8, 100,Oito
0.082721, 100 ,8, 100,Oito
0.077735, 100 ,8, 100,Oito
0.084812, 100 ,8, 100,Oito
0.0835, 100 ,8, 100,Oito
0.08441, 100 ,8, 100,Oito
0.090066, 100 ,8, 100,Oito
0.089593, 100 ,8, 100,Oito
0.092351, 100 ,8, 100,Oito
0.08578, 100 ,8, 100,Oito
0.081047, 100 ,8, 100,Oito
0.083016, 100 ,8, 100,Oito
0.081097, 100 ,8, 100,Oito
0.082877, 100 ,8, 100,Oito
0.083235, 100 ,8, 100,Oito
0.080838, 100 ,8, 100,Oito
0.081857, 100 ,8, 100,Oito
0.084604, 100 ,8, 100,Oito
0.080621, 100 ,8, 100,Oito
0.080946, 100 ,8, 100,Oito
0.092248, 100 ,8, 100,Oito
0.084251, 100 ,8, 100,Oito
0.080024, 100 ,8, 100,Oito
0.084827, 100 ,8, 100,Oito
0.086315, 100 ,8, 100,Oito
0.089497, 100 ,8, 100,Oito
0.094551, 100 ,8, 100,Oito
0.076611, 100 ,8, 100,Oito
0.083537, 100 ,8, 100,Oito
0.083261, 100 ,8, 100,Oito
0.078214, 100 ,8, 100,Oito
0.075898, 100 ,8, 100,Oito
0.080714, 100 ,8, 100,Oito
0.086892, 100 ,8, 100,Oito
0.109248, 200 ,8, 100,Oito
0.107073, 200 ,8, 100,Oito
0.116975, 200 ,8, 100,Oito
0.109036, 200 ,8, 100,Oito
0.107419, 200 ,8, 100,Oito
0.110561, 200 ,8, 100,Oito
0.106348, 200 ,8, 100,Oito
0.115684, 200 ,8, 100,Oito
0.100815, 200 ,8, 100,Oito
0.107149, 200 ,8, 100,Oito
0.105231, 200 ,8, 100,Oito
0.100563, 200 ,8, 100,Oito
0.113379, 200 ,8, 100,Oito
0.107409, 200 ,8, 100,Oito
0.111788, 200 ,8, 100,Oito
0.107866, 200 ,8, 100,Oito
0.112735, 200 ,8, 100,Oito
0.114783, 200 ,8, 100,Oito
0.102861, 200 ,8, 100,Oito
0.102872, 200 ,8, 100,Oito
0.105277, 200 ,8, 100,Oito
0.106355, 200 ,8, 100,Oito
0.106353, 200 ,8, 100,Oito
0.099212, 200 ,8, 100,Oito
0.109864, 200 ,8, 100,Oito
0.102941, 200 ,8, 100,Oito
0.110606, 200 ,8, 100,Oito
0.104957, 200 ,8, 100,Oito
0.111684, 200 ,8, 100,Oito
0.108726, 200 ,8, 100,Oito
0.10368, 200 ,8, 100,Oito
0.103125, 200 ,8, 100,Oito
0.095897, 200 ,8, 100,Oito
0.105464, 200 ,8, 100,Oito
0.100713, 200 ,8, 100,Oito
0.10828, 200 ,8, 100,Oito
0.102156, 200 ,8, 100,Oito
0.111205, 200 ,8, 100,Oito
0.104857, 200 ,8, 100,Oito
0.10335, 200 ,8, 100,Oito
0.10038, 200 ,8, 100,Oito
0.114755, 200 ,8, 100,Oito
0.103704, 200 ,8, 100,Oito
0.106572, 200 ,8, 100,Oito
0.103008, 200 ,8, 100,Oito
0.108345, 200 ,8, 100,Oito
0.107189, 200 ,8, 100,Oito
0.10598, 200 ,8, 100,Oito
0.104905, 200 ,8, 100,Oito
0.113375, 200 ,8, 100,Oito
0.169908, 300 ,8, 100,Oito
0.162977, 300 ,8, 100,Oito
0.167053, 300 ,8, 100,Oito
0.177359, 300 ,8, 100,Oito
0.166332, 300 ,8, 100,Oito
0.179274, 300 ,8, 100,Oito
0.166168, 300 ,8, 100,Oito
0.170467, 300 ,8, 100,Oito
0.162308, 300 ,8, 100,Oito
0.153217, 300 ,8, 100,Oito
0.169885, 300 ,8, 100,Oito
0.174662, 300 ,8, 100,Oito
0.182379, 300 ,8, 100,Oito
0.179977, 300 ,8, 100,Oito
